question_id,question,category,answer_1,score_1,answer_2,score_2,answer_3,score_3,answer_4,score_4,answer_5,score_5,answer_6,score_6,source_type,notes
Q0017,Name your favorite place you might take,Travel,FLIGHT,38.0,TRAIN,24.0,BUS,16.0,TAXI,10.0,CRUISE,7.0,ROAD TRIP,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0018,Name a popular place you might take,Travel,FLIGHT,38.0,TRAIN,24.0,BUS,16.0,TAXI,10.0,CRUISE,7.0,ROAD TRIP,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0019,Name something you see in a place,Travel,HOTEL,38.0,AIRPORT,24.0,TRAIN STATION,16.0,MUSEUM,10.0,BEACH,7.0,TOURIST ATTRACTION,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0020,Name one thing you see in a place,Travel,HOTEL,38.0,AIRPORT,24.0,TRAIN STATION,16.0,MUSEUM,10.0,BEACH,7.0,TOURIST ATTRACTION,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0021,Name something you find in a household item,Home,KITCHEN,38.0,BEDROOM,24.0,BATHROOM,16.0,LIVING ROOM,10.0,GARAGE,7.0,OFFICE,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0022,Name one thing you find in a household item,Home,KITCHEN,38.0,BEDROOM,24.0,BATHROOM,16.0,LIVING ROOM,10.0,GARAGE,7.0,OFFICE,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0023,Name something you household item at home,Home,WATCH TV,38.0,SLEEP,24.0,COOK,16.0,EAT,10.0,CLEAN,7.0,RELAX,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0024,Name one thing you household item at home,Home,WATCH TV,38.0,SLEEP,24.0,COOK,16.0,EAT,10.0,CLEAN,7.0,RELAX,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0025,Name a household item appliance,Home,REFRIGERATOR,38.0,MICROWAVE,24.0,OVEN,16.0,TOASTER,10.0,DISHWASHER,7.0,WASHING MACHINE,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0026,Name your favorite household item appliance,Home,REFRIGERATOR,38.0,MICROWAVE,24.0,OVEN,16.0,TOASTER,10.0,DISHWASHER,7.0,WASHING MACHINE,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0027,Name a popular household item appliance,Home,REFRIGERATOR,38.0,MICROWAVE,24.0,OVEN,16.0,TOASTER,10.0,DISHWASHER,7.0,WASHING MACHINE,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0028,Name something soft in a household item,Home,BED,38.0,PILLOW,24.0,BLANKET,16.0,CARPET,10.0,COUCH,7.0,TOWEL,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0029,Name one thing soft in a household item,Home,BED,38.0,PILLOW,24.0,BLANKET,16.0,CARPET,10.0,COUCH,7.0,TOWEL,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0030,Name something you clean in a household item,Home,FLOOR,38.0,WINDOW,24.0,BATHROOM,16.0,KITCHEN,10.0,CARPET,7.0,MIRROR,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0031,Name one thing you clean in a household item,Home,FLOOR,38.0,WINDOW,24.0,BATHROOM,16.0,KITCHEN,10.0,CARPET,7.0,MIRROR,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0032,Name something you keep in a household item,Home,DRAWER,38.0,CLOSET,24.0,CABINET,16.0,GARAGE,10.0,FRIDGE,7.0,DESK,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0033,Name one thing you keep in a household item,Home,DRAWER,38.0,CLOSET,24.0,CABINET,16.0,GARAGE,10.0,FRIDGE,7.0,DESK,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0034,Name a school subject,School,MATH,38.0,SCIENCE,24.0,ENGLISH,16.0,HISTORY,10.0,ART,7.0,GEOGRAPHY,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0035,Name your favorite school subject,School,MATH,38.0,SCIENCE,24.0,ENGLISH,16.0,HISTORY,10.0,ART,7.0,GEOGRAPHY,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0036,Name a popular school subject,School,MATH,38.0,SCIENCE,24.0,ENGLISH,16.0,HISTORY,10.0,ART,7.0,GEOGRAPHY,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0037,Name something students school subject,School,STUDY,38.0,READ,24.0,WRITE,16.0,TEST,10.0,LEARN,7.0,MEMORIZE,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0038,Name one thing students school subject,School,STUDY,38.0,READ,24.0,WRITE,16.0,TEST,10.0,LEARN,7.0,MEMORIZE,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0039,Name something in a school subject,School,CLASSROOM,38.0,SCHOOL,24.0,BACKPACK,16.0,PENCIL CASE,10.0,LIBRARY,7.0,CAFETERIA,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0040,Name one thing in a school subject,School,CLASSROOM,38.0,SCHOOL,24.0,BACKPACK,16.0,PENCIL CASE,10.0,LIBRARY,7.0,CAFETERIA,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0041,Name a school subject students use,School,PENCIL,38.0,PEN,24.0,NOTEBOOK,16.0,CALCULATOR,10.0,LAPTOP,7.0,RULER,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0042,Name your favorite school subject students use,School,PENCIL,38.0,PEN,24.0,NOTEBOOK,16.0,CALCULATOR,10.0,LAPTOP,7.0,RULER,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0043,Name a popular school subject students use,School,PENCIL,38.0,PEN,24.0,NOTEBOOK,16.0,CALCULATOR,10.0,LAPTOP,7.0,RULER,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0044,Name a reason a student might school subject,School,BE LATE,38.0,MISS CLASS,24.0,STUDY,16.0,FAIL,10.0,CELEBRATE,7.0,ASK FOR HELP,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0045,Name your favorite reason a student might school subject,School,BE LATE,38.0,MISS CLASS,24.0,STUDY,16.0,FAIL,10.0,CELEBRATE,7.0,ASK FOR HELP,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0046,Name a popular reason a student might school subject,School,BE LATE,38.0,MISS CLASS,24.0,STUDY,16.0,FAIL,10.0,CELEBRATE,7.0,ASK FOR HELP,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0047,Name a sport,Sports,FOOTBALL,38.0,BASKETBALL,24.0,SOCCER,16.0,BASEBALL,10.0,TENNIS,7.0,HOCKEY,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0048,Name your favorite sport,Sports,FOOTBALL,38.0,BASKETBALL,24.0,SOCCER,16.0,BASEBALL,10.0,TENNIS,7.0,HOCKEY,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0049,Name a popular sport,Sports,FOOTBALL,38.0,BASKETBALL,24.0,SOCCER,16.0,BASEBALL,10.0,TENNIS,7.0,HOCKEY,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0050,Name a sport played with a sport,Sports,BALL,38.0,BAT,24.0,RACKET,16.0,HELMET,10.0,NET,7.0,BOARD,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0051,Name your favorite sport played with a sport,Sports,BALL,38.0,BAT,24.0,RACKET,16.0,HELMET,10.0,NET,7.0,BOARD,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0052,Name a popular sport played with a sport,Sports,BALL,38.0,BAT,24.0,RACKET,16.0,HELMET,10.0,NET,7.0,BOARD,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0053,Name something athletes sport,Sports,RUN,38.0,TRAIN,24.0,STRETCH,16.0,PRACTICE,10.0,COMPETE,7.0,SCORE,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0054,Name one thing athletes sport,Sports,RUN,38.0,TRAIN,24.0,STRETCH,16.0,PRACTICE,10.0,COMPETE,7.0,SCORE,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0055,Name something you see at a sport,Sports,STADIUM,38.0,GAME,24.0,RACE,16.0,MARATHON,10.0,SOCCER MATCH,7.0,BASKETBALL GAME,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0056,Name one thing you see at a sport,Sports,STADIUM,38.0,GAME,24.0,RACE,16.0,MARATHON,10.0,SOCCER MATCH,7.0,BASKETBALL GAME,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0057,Name a piece of sport equipment,Sports,HELMET,38.0,BALL,24.0,BAT,16.0,GLOVES,10.0,RACKET,7.0,CLEATS,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0058,Name your favorite piece of sport equipment,Sports,HELMET,38.0,BALL,24.0,BAT,16.0,GLOVES,10.0,RACKET,7.0,CLEATS,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0059,Name a popular piece of sport equipment,Sports,HELMET,38.0,BALL,24.0,BAT,16.0,GLOVES,10.0,RACKET,7.0,CLEATS,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0060,Name a form of entertainment,Entertainment,SUPERHERO,38.0,MOVIE,24.0,TV SHOW,16.0,VIDEO GAME,10.0,CARTOON,7.0,COMIC,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0061,Name your favorite form of entertainment,Entertainment,SUPERHERO,38.0,MOVIE,24.0,TV SHOW,16.0,VIDEO GAME,10.0,CARTOON,7.0,COMIC,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0062,Name a popular form of entertainment,Entertainment,SUPERHERO,38.0,MOVIE,24.0,TV SHOW,16.0,VIDEO GAME,10.0,CARTOON,7.0,COMIC,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0063,Name a famous form of entertainment,Entertainment,ACTOR,38.0,SINGER,24.0,RAPPER,16.0,COMEDIAN,10.0,DIRECTOR,7.0,ATHLETE,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0064,Name your favorite famous form of entertainment,Entertainment,ACTOR,38.0,SINGER,24.0,RAPPER,16.0,COMEDIAN,10.0,DIRECTOR,7.0,ATHLETE,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0065,Name a popular famous form of entertainment,Entertainment,ACTOR,38.0,SINGER,24.0,RAPPER,16.0,COMEDIAN,10.0,DIRECTOR,7.0,ATHLETE,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0066,Name a form of entertainment character,Entertainment,HARRY POTTER,38.0,BATMAN,24.0,SPIDER-MAN,16.0,SUPERMAN,10.0,HOMER SIMPSON,7.0,MICKEY MOUSE,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0067,Name your favorite form of entertainment character,Entertainment,HARRY POTTER,38.0,BATMAN,24.0,SPIDER-MAN,16.0,SUPERMAN,10.0,HOMER SIMPSON,7.0,MICKEY MOUSE,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0068,Name a popular form of entertainment character,Entertainment,HARRY POTTER,38.0,BATMAN,24.0,SPIDER-MAN,16.0,SUPERMAN,10.0,HOMER SIMPSON,7.0,MICKEY MOUSE,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0069,Name something you watch on a form of entertainment,Entertainment,TV,38.0,STREAMING SERVICE,24.0,PHONE,16.0,COMPUTER,10.0,MOVIE SCREEN,7.0,TABLET,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0070,Name one thing you watch on a form of entertainment,Entertainment,TV,38.0,STREAMING SERVICE,24.0,PHONE,16.0,COMPUTER,10.0,MOVIE SCREEN,7.0,TABLET,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0071,Name a form of entertainment people play,Entertainment,MINECRAFT,38.0,FORTNITE,24.0,MARIO,16.0,FIFA,10.0,ROBLOX,7.0,CALL OF DUTY,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0072,Name your favorite form of entertainment people play,Entertainment,MINECRAFT,38.0,FORTNITE,24.0,MARIO,16.0,FIFA,10.0,ROBLOX,7.0,CALL OF DUTY,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0073,Name a popular form of entertainment people play,Entertainment,MINECRAFT,38.0,FORTNITE,24.0,MARIO,16.0,FIFA,10.0,ROBLOX,7.0,CALL OF DUTY,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0074,Name a form of entertainment music genre,Entertainment,POP,38.0,ROCK,24.0,RAP,16.0,COUNTRY,10.0,JAZZ,7.0,CLASSICAL,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0075,Name your favorite form of entertainment music genre,Entertainment,POP,38.0,ROCK,24.0,RAP,16.0,COUNTRY,10.0,JAZZ,7.0,CLASSICAL,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0076,Name a popular form of entertainment music genre,Entertainment,POP,38.0,ROCK,24.0,RAP,16.0,COUNTRY,10.0,JAZZ,7.0,CLASSICAL,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0077,Name a technology device,Technology,SMARTPHONE,38.0,LAPTOP,24.0,TABLET,16.0,SMARTWATCH,10.0,DESKTOP COMPUTER,7.0,GAME CONSOLE,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0078,Name your favorite technology device,Technology,SMARTPHONE,38.0,LAPTOP,24.0,TABLET,16.0,SMARTWATCH,10.0,DESKTOP COMPUTER,7.0,GAME CONSOLE,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0079,Name a popular technology device,Technology,SMARTPHONE,38.0,LAPTOP,24.0,TABLET,16.0,SMARTWATCH,10.0,DESKTOP COMPUTER,7.0,GAME CONSOLE,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0080,Name an app people technology device,Technology,TEXT,38.0,CHAT,24.0,WATCH VIDEOS,16.0,LISTEN TO MUSIC,10.0,SHOP,7.0,NAVIGATE,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0081,Name a common app people technology device,Technology,TEXT,38.0,CHAT,24.0,WATCH VIDEOS,16.0,LISTEN TO MUSIC,10.0,SHOP,7.0,NAVIGATE,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0082,Name something you use with a technology device,Technology,KEYBOARD,38.0,MOUSE,24.0,CHARGER,16.0,HEADPHONES,10.0,MONITOR,7.0,WEBCAM,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0083,Name one thing you use with a technology device,Technology,KEYBOARD,38.0,MOUSE,24.0,CHARGER,16.0,HEADPHONES,10.0,MONITOR,7.0,WEBCAM,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0084,Name a technology device company,Technology,APPLE,38.0,GOOGLE,24.0,MICROSOFT,16.0,AMAZON,10.0,SAMSUNG,7.0,META,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0085,Name your favorite technology device company,Technology,APPLE,38.0,GOOGLE,24.0,MICROSOFT,16.0,AMAZON,10.0,SAMSUNG,7.0,META,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0086,Name a popular technology device company,Technology,APPLE,38.0,GOOGLE,24.0,MICROSOFT,16.0,AMAZON,10.0,SAMSUNG,7.0,META,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0087,Name something you do on a technology device,Technology,SEARCH,38.0,EMAIL,24.0,WATCH VIDEOS,16.0,SHOP,10.0,PLAY GAMES,7.0,WORK,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0088,Name one thing you do on a technology device,Technology,SEARCH,38.0,EMAIL,24.0,WATCH VIDEOS,16.0,SHOP,10.0,PLAY GAMES,7.0,WORK,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0089,Name a technology device accessory,Technology,CHARGER,38.0,CASE,24.0,HEADPHONES,16.0,MOUSE,10.0,KEYBOARD,7.0,STYLUS,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0090,Name your favorite technology device accessory,Technology,CHARGER,38.0,CASE,24.0,HEADPHONES,16.0,MOUSE,10.0,KEYBOARD,7.0,STYLUS,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0091,Name a popular technology device accessory,Technology,CHARGER,38.0,CASE,24.0,HEADPHONES,16.0,MOUSE,10.0,KEYBOARD,7.0,STYLUS,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0092,Name a job,Work,DOCTOR,38.0,TEACHER,24.0,ENGINEER,16.0,LAWYER,10.0,NURSE,7.0,ACCOUNTANT,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0093,Name your favorite job,Work,DOCTOR,38.0,TEACHER,24.0,ENGINEER,16.0,LAWYER,10.0,NURSE,7.0,ACCOUNTANT,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0094,Name a popular job,Work,DOCTOR,38.0,TEACHER,24.0,ENGINEER,16.0,LAWYER,10.0,NURSE,7.0,ACCOUNTANT,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0095,Name something you find in an job,Work,OFFICE,38.0,MEETING,24.0,EMAIL,16.0,COMPUTER,10.0,DESK,7.0,CONFERENCE ROOM,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0096,Name one thing you find in an job,Work,OFFICE,38.0,MEETING,24.0,EMAIL,16.0,COMPUTER,10.0,DESK,7.0,CONFERENCE ROOM,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0097,Name something people do at job,Work,WORK,38.0,MEETINGS,24.0,EMAIL,16.0,LUNCH,10.0,PRESENTATIONS,7.0,TRAINING,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0098,Name one thing people do at job,Work,WORK,38.0,MEETINGS,24.0,EMAIL,16.0,LUNCH,10.0,PRESENTATIONS,7.0,TRAINING,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0099,Name something you bring to job,Work,LAPTOP,38.0,NOTEBOOK,24.0,COFFEE,16.0,PHONE,10.0,ID,7.0,LUNCH,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0100,Name one thing you bring to job,Work,LAPTOP,38.0,NOTEBOOK,24.0,COFFEE,16.0,PHONE,10.0,ID,7.0,LUNCH,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0101,Name a reason someone might miss job,Work,TRAFFIC,38.0,ILLNESS,24.0,VACATION,16.0,APPOINTMENT,10.0,FAMILY EMERGENCY,7.0,OVERSLEEPING,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0102,Name your favorite reason someone might miss job,Work,TRAFFIC,38.0,ILLNESS,24.0,VACATION,16.0,APPOINTMENT,10.0,FAMILY EMERGENCY,7.0,OVERSLEEPING,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0103,Name a popular reason someone might miss job,Work,TRAFFIC,38.0,ILLNESS,24.0,VACATION,16.0,APPOINTMENT,10.0,FAMILY EMERGENCY,7.0,OVERSLEEPING,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0104,Name a clothing item,Fashion,SHIRT,38.0,JEANS,24.0,DRESS,16.0,JACKET,10.0,SWEATER,7.0,SHORTS,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0105,Name your favorite clothing item,Fashion,SHIRT,38.0,JEANS,24.0,DRESS,16.0,JACKET,10.0,SWEATER,7.0,SHORTS,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0106,Name a popular clothing item,Fashion,SHIRT,38.0,JEANS,24.0,DRESS,16.0,JACKET,10.0,SWEATER,7.0,SHORTS,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0107,Name something you wear on your clothing item,Fashion,HEAD,38.0,FEET,24.0,HANDS,16.0,FACE,10.0,WAIST,7.0,NECK,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0108,Name one thing you wear on your clothing item,Fashion,HEAD,38.0,FEET,24.0,HANDS,16.0,FACE,10.0,WAIST,7.0,NECK,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0109,Name a clothing item accessory,Fashion,WATCH,38.0,HAT,24.0,BELT,16.0,SCARF,10.0,SUNGLASSES,7.0,BAG,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0110,Name your favorite clothing item accessory,Fashion,WATCH,38.0,HAT,24.0,BELT,16.0,SCARF,10.0,SUNGLASSES,7.0,BAG,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0111,Name a popular clothing item accessory,Fashion,WATCH,38.0,HAT,24.0,BELT,16.0,SCARF,10.0,SUNGLASSES,7.0,BAG,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0112,Name something people wear to a clothing item,Fashion,WEDDING,38.0,PARTY,24.0,INTERVIEW,16.0,BEACH,10.0,GYM,7.0,FUNERAL,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0113,Name one thing people wear to a clothing item,Fashion,WEDDING,38.0,PARTY,24.0,INTERVIEW,16.0,BEACH,10.0,GYM,7.0,FUNERAL,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0114,Name a natural feature,Nature,TREE,38.0,FLOWER,24.0,MOUNTAIN,16.0,RIVER,10.0,LAKE,7.0,WATERFALL,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
